"""液化メタンを気化させて、温度27°C、圧力100kPaの状態にしたときの体積(㎥)として最も近い値はどれか。
ただし、液化メタンの液密度は416kg/㎥、気体定数R=8.3J/(mol・K)とする。"" ","240 
","590 
","650 
","1560 
",3760,,,,,"650 
",[img:/static/explain//kr2/kR2k1.jpg]
"""水素と窒素を体積比1:4で混合したガスを、 内容積1.0㎥の空の圧力容器に充てんした。充てん後の圧力容器の質量は46kg増加した。充てん後の圧力容器内の圧力(MPa)として最も近い値はどれか。
ただし、容器内の混合ガスの温度は27℃、混合ガスは理想気体とし、気体定数R=8.3J/(mol・K)とする。"" ","0.5 
","1.0 
","2.0 
","4.0 
",5,,,,,5,[img:/static/explain//kr2/kR2k2.jpg]
気体の諸性質に関する次の記述のうち、誤っているものはどれか。 ,実在気体の状態式として知られるファンデルワールスの状態式は、分子間引力と気体分子の体積を考慮して理想気体の状態方程式を補正する式である。 ,シャルルの法則によれば、温度が一定の場合、気体の体積は圧力に反比例する。 ,ラウールの法則によれば、希薄溶液の蒸気圧降下は不揮発性の溶質の種類に無関係で、溶質のモル分率に比例する。 ,ヘンリーの法則によれば、溶解度が小さい場合、一定の温度で一定質量の液体に溶解する気体の質量は、気体の圧力に比例する。 ,ドルトンの分圧の法則によれば、混合気体全体の圧力(全圧)は、各成分気体の分圧の和である。 ,,,,,シャルルの法則によれば、温度が一定の場合、気体の体積は圧力に反比例する。 ,[img:/static/explain//kr2/kR2k3.jpg]
"""温度 0°C、圧力100kPaの気体3㎥を定圧膨張させて6㎥にした。このとき気体に与えられた熱量(MJ)として最も近い値はどれか。
ただし、気体は理想気体とし、定圧モル熱容量Cp=29.2J/(mol・K)、気体定数R=8.3J/(mol・K)とする。"" ",0.1,0.5,1.1,1.5,2,,,,,1.1,[img:/static/explain//kr2/kR2k4.jpg]
"""温度300K、圧力100kPaの空気1㎥を断熱圧縮して0.95㎥にした。このときの空気の温度(K)として最も近い値はどれか。
ただし、空気の比熱比は1.40とする。また、xの絶対値が1より十分小さいとき、(1+x)≒1+nxと近似できるものとする。 """,300,306,309,315,321,,,,,306,[img:/static/explain//kr2/kR2k5.jpg]
"""混合気体(CO1.2mol、H2O1.2mol)を用いて、次のCOシフト反応を進行させた。 
CO(g)+H2O(g)→CO2(g)+H2(g) 
平衡状態におけるCOが0.2molである場合、平衡定数(圧平衡定数)として最も近い値はどれか。 """,1,5,25,50,100,,,,,25,[img:/static/explain//kr2/kR2k6.jpg]
一次反応において、反応物が50%反応するのに100秒を要した。87.5%反応するのに要する時間(秒)として最も近い値はどれか。 ,138,175,200,250,300,,,,,300,[img:/static/explain//kr2/kR2k7.jpg]
"""プロパン 40vol%、窒素40vol%、酸素20vol%からなる混合ガス1㎥を空気比1で完全燃焼させるのに必要な空気量(㎥)として最も近い値はどれか。
ただし、混合ガス及び空気は標準状態(0°C、101325Pa)とし、空気中の酸素濃度は20vol%とする。 """,9,9.5,10,10.5,11,,,,,9,[img:/static/explain//kr2/kR2k8.jpg]
"""メタンとプロパンの混合ガスの空気中における燃焼下限界が3.8vol% のとき、メタン(vol%)とプロパン(vol%)の混合組成として最も近い値はどれか。
ただし、単体ガスの燃焼下限界は、メタン5.0vol%、プロパン2.0vol%とする。"" ",メタン ２０　　プロパン８０ ,メタン ４０　　プロパン６０,メタン ５０　　プロパン５０,メタン ６０　　プロパン４０,メタン ８０　　プロパン２０,,,,,メタン ８０　　プロパン２０,[img:/static/explain//kr2/kR2k9.jpg]
"""内径10cmの直円管内を流体が質量流量10kg/sで流れているときの平均流速(m/s)として最も近い値はどれか。
ただし、流体の密度は1000kg/㎥とする。"" ",1,1.1,1.2,1.3,1.4,,,,,1.3,[img:/static/explain//kr2/kR2k10.jpg]
直円管内の完全に発達した流れにおける管摩擦係数に関する次の記述のうち、誤っているものはどれか。 ,"層流の場合、管摩擦係数はレイノルズ数に反比例して小さくなる。 
","乱流で管壁面が粗い場合、レイノルズ数が十分に大きいと管摩擦係数はレイノルズ数に依存しなくなる。 
","乱流で管壁面が粗い場合、管摩擦係数は管壁面粗さが大きいほど大きくなる。 
","乱流で管壁面が滑らかな場合、管摩擦係数はレイノルズ数に比例して大きくなる。 
",ファニングの式の管摩擦係数はダルシー・ワイスバッハの式の管摩擦係数の1である。 ,,,,,"乱流で管壁面が滑らかな場合、管摩擦係数はレイノルズ数に比例して大きくなる。 
",[img:/static/explain//kr2/kR2k11.jpg]
