"""法令で規定されている用語の定義及び事業の届出に関する次の記述のうち、誤っているものはどれか。""

","ガス事業とは、ガス小売事業、一般ガス導管事業、特定ガス導管事業、 託送供給事業及びガス製造事業をいう。
","「ガス小売事業者」とは、 ガス小売事業を営もうとして、 経済産業大臣の登録を受けた者をいう。

","ガスを供給する事業を営む他の者から導管によりガスを受け入れた者が、同時に、その受け入れた場所以外の場所において、当該他の者のガスを供給する事業の用に供するためのガスの量の変動であって経済産業省令で定める範囲内のものに応じて、当該他の者に対して、導管によりガスの供給を行うことは、「託送供給」である。

","ガス製造事業を営もうとする者は、経済産業省令で定めるところにより、ガス発生設備及びガスホルダーにあっては、これらの設置の場所、種類及び能力別の数を、経済産業大臣に届け出なければならない。

","「最終保障供給」とは、一般ガス導管事業者自らの供給区域における一般の需要（ガス小売事業者から小売供給を受けているものを除く。）に応ずるガスの供給を保障するための小売供給をいう。""",,,,,"ガス事業とは、ガス小売事業、一般ガス導管事業、特定ガス導管事業、 託送供給事業及びガス製造事業をいう。
",[img:/static/explain/or5/r5oh1.jpg]
"""法令で規定されている一般ガス導管事業者、特定ガス導管事業者及びガス製造事業者の業務に関する次の記述のうち、正しいものはいくつあるか。


・ガス製造事業者は、経済産業省令で定めるところにより、その製造するガスの熱量、圧力及び燃焼性を測定し、その結果を記録し、これを報告しなければならない。

・一般ガス導管事業者は、災害その他の非常時にガスの熱量及び燃焼性を測定することが困難な場合において、熱量及び燃焼性が測定された液化天然ガスを用いてその成分に変更を加えることなく一時的に供給するときは、熱量及び燃焼性を測定することを要しない。

・特定ガス導管事業者は、正当な理由がなければ、最終保障供給を拒んではならない。

・一般ガス導管事業者は、経済産業省令で定めるところにより、毎年度、当該年度以降経済産業省令で定める期間における供給計画を作成し、当該年度の開始前に(一般ガス導管事業者となった日を含む年度にあっては、一般ガス導管事業者となった後遅滞なく)、経済産業大臣に届け出なければならない。

・ガス製造事業者は、その製造するガスの圧力にあっては、常時、ガスホルダーの出口及び経済産業大臣が指定する場所において、圧力値を自動的に記録する圧力計を使用して測定しなければならない。 """,1,2,3,4,5,,,,,3,[img:/static/explain/or5/r5oh2.jpg]
"""法令で規定されているガス工作物及び保安規程に関する次の記述のうち、いずれも誤っているものの組合せはどれか。


イ　一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物を経済産業省令で定める技術上の基準に適合するように維持しなければならない。

ロ　一般ガス導管事業の用に供するガス工作物のうち一般ガス導管事業者以外の者が所有するガス工作物について一般ガス導管事業者が技術基準への適合の維持のため必要な措置を講じようとするときは、当該ガス工作物の所有者はその措置の実施に協力するよう努めなければならない。

ハ　一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の工事、維持及び運用に関する保安を確保するため、 経済産業省令で定めるところにより、保安規程を定め、事業の開始前に、経済産業大臣の許可を受けなければならない。

二　保安規程には、経済産業省との連携協力に関することを定めなければならない。

ホ　保安規程には、導管の工事現場の責任者の条件その他導管の工事現場における保安監督体制に関することを定めなければならない。""","イ、二

","イ、ホ
","ロ、ハ
","ロ、ホ
",ハ、二,,,,,ハ、二,[img:/static/explain/or5/r5oh3.jpg]
"""次のガス事故のうち、ガス事故速報及びガス事故詳報を報告することが法令で規定されていないものはどれか。ただし、台風、 高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものではない。""

","ガスの供給に支障を及ぼした事故であって、供給支障戸数が500以上のもの

","工事中のガス工作物 (ガス栓を除く。)の損壊により人が負傷した事故

","製造支障時間が5時間以上の製造支障事故

","ガス栓の損壊によりガス栓から漏えいしたガスに引火することにより、 発生した負傷事故

",消費機器から漏えいしたガスに引火することにより、 発生した負傷事故,,,,,"製造支障時間が5時間以上の製造支障事故

",[img:/static/explain/or5/r5oh4.jpg]
"""法令で規定されているガス主任技術者と立入検査に関する次の記述のうち、いずれも誤っているものの組合せはどれか。


イ　ガス小売事業者は、経済産業省令で定めるところにより、 ガス主任技術者免状の交付を受けている者、又は経済産業省令で定める実務の経験を有するもののいずれかのうちから、ガス主任技術者を選任し、ガス小売事業の用に供するガス工作物の工事、維持及び運用に関する保安の監督をさせなければならない。

ロ　乙種ガス主任技術者免状の交付を受けている者は、 最高使用圧力が中圧及び低圧のガス工作物及び高圧の移動式ガス発生設備の保安について監督をすることができる。

ハ　一般ガス導管事業者は、ガス主任技術者を選任したときは、遅滞なく、その旨を経済産業大臣に届け出なければならない。これを解任したときも、同様とする。

二　経済産業大臣は、一般ガス導管事業者に対しガス主任技術者の解任を、ガス主任技術者免状の交付を受けている者に対しそのガス主任技術者免状の返納を命ずることができる。

ホ　経済産業大臣は、この法律の施行に必要な限度において、登録ガス工作物検査機関の職員に、ガス事業者の営業所、事務所その他の事業場に立ち入り、帳簿書類その他の物件を検査させることができる。""","イ、ロ
","イ、ホ
","ロ、二
","ハ、二
",ハ、ホ,,,,,"イ、ホ
",[img:/static/explain/or5/r5oh5.jpg]
"""法令で規定されている工事計画、使用前検査及び定期自主検査に関する次の記述のうち、正しいものはいくつあるか。


・工事の計画の届出をした一般ガス導管事業者は、その届出が受理された日から30日を経過した後でなければ、その届出に係る工事を開始してはならない。ただし、その工事が経済産業省令で定める軽微なものであるときは、この限りでない。

・経済産業大臣は、工事の計画が経済産業省令で定める技術上の基準に適合していないと認めるときは、一般ガス導管事業者に対し、その届出が提出された日から30日以内に限り、その工事の計画を変更し、又は廃止すべきことを命ずることができる。

・一般ガス導管事業者は、経済産業省令で定めるものの工事について自主検査を行い、そ の結果について登録ガス工作物検査機関が行う検査を受け、これに合格した後でなければ、これを使用してはならない。ただし、経済産業省令で定める場合は、この限りでない。

・使用前自主検査の記録には、自主検査の結果に基づいて補修等の措置を講じたときは、その内容を記載しなければならない。 ただし、 その補修等の措置が経済産業省令で定める軽微なものであるときは、この限りでない。

・一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物であって経済産業省令で定めるものについては、経済産業省令で定めるところにより、定期に、自主検査を行い、その検査記録を作成し、経済産業大臣に届け出なければならない。""",1,2,3,4,5,,,,,1,[img:/static/explain/or5/r5oh6.jpg]
"""技術基準で規定されているガス工作物に関する次の記述について、(イ)　~　(ホ)にあてはまる語句の組合せとして最も適切なものはどれか。


ガスの種類、ガス工作物の状況、周囲の状況等の理由により経済産業大臣　（イ）　場合は、告示で定める離隔距離を有しないでガス工作物を施設することができる。
製造所若しくは供給所に設置するガス若しくは液化ガスを通ずるガス工作物又は大容量移動式ガス発生設備には、その　（ロ）　に応じて、適切な防消火設備を適切な箇所に設けなければならない。 
製造所には、ガス又は液化ガスを通ずるガス工作物から漏えいしたガスが　（ハ）　するおそれのある製造所内の適当な場所に、当該ガスの漏えいを適切に検知し、かつ、　（二）　する設備を設けなければならない。
製造所若しくは供給所に設置するガス若しくは液化ガスを通ずるガス工作物の付近に設置する電気設備は、その設置場所の状況及び当該ガス又は液化ガスの種類に応じた　（ホ）　性能を有するものでなければならない。""","(イ)　に届け出た　　(ロ)　種類　　(ハ)　滞留　　(ニ)　排出　　(ホ)　耐腐食

","(イ)　に届け出た　　(ロ)　種類　　(ハ)　滞留　　(ニ)　警報　　(ホ)　防爆
","(イ)　の認可を受けた　　(ロ)　規模　　(ハ)　滞留　　(ニ)　警報　　(ホ)　防爆
","(イ)　 の認可を受けた　　(ロ)　種類　　(ハ)　拡散　　(ニ)　警報　　(ホ)　耐腐食
",(イ)　に届け出た　　(ロ)　規模　　(ハ)　拡散　　(ニ)　排出　　(ホ)　防爆,,,,,"(イ)　の認可を受けた　　(ロ)　規模　　(ハ)　滞留　　(ニ)　警報　　(ホ)　防爆
",[img:/static/explain/or5/r5oh7.jpg]
"""技術基準で規定されているガス工作物に関する次の記述について、（イ）　~　（ホ）のうち、正しいものはどれか。


導管及びガス栓の主要材料は、最高使用温度及び最低使用温度において材料に及ぼす化学的及び物理的影響に対し、設備の種類、規模に応じて安全な［　（イ）　機械的性質　］を有するものでなければならない。
導管及びガス栓の構造は、供用中の［　（ロ）　衝撃　］並びに最高使用温度及び最低使用温度における［　（ハ）供給圧力　］に対し、設備の種類、規模に応じて適切な構造でなければならない。
ガス工作物のガス又は液化ガスを通ずる部分であって、内面に零Paを超える圧力を受ける部分の溶接された部分は、［　（二）　肉厚　］が十分で、溶接による割れ等で有害な欠陥がなく、かつ、［　（ホ）　運用時に問題を生じない　］強度でなければならない。""","イ
","ロ
","ハ
","二
",ホ,,,,,"イ
",[img:/static/explain/or5/r5oh8.jpg]
"""技術基準で規定されているガス工作物に関する次の記述のうち、 誤っているものはいくつあるか。


・最高使用圧力が高圧のガス発生設備であって、 過圧が生ずるおそれのあるものには、その圧力を逃がすために適切なインターロック機構を設けなければならない。

・移動式ガス発生設備には、設備の損傷を防止するため使用の状態を記録し、これを保存できる適切な措置が講じられていなければならない。

・中圧のガス圧力により行う大口供給の用に供するガスは、容易に臭気によるガスの感知ができるように、 付臭されていなければならない。

・液化ガス用貯槽又はこの付近には、その外部から見やすいようにガス主任技術者の氏名及び連絡先の表示をしなければならない。

・液化ガス用貯槽（不活性の液化ガス用のものを除く。）の埋設された部分には、設置された状況により腐食を生ずるおそれがある場合には、当該設備の腐食を防止するための適切な措置を講じなければならない。""",1,2,3,4,5,,,,,4,[img:/static/explain/or5/r5oh9.jpg]
"""技術基準で規定されているガス工作物に関する次の記述のうち、いずれも誤っているものの組合せはどれか。 


イ　製造設備（ガスホルダー、 液化ガス用貯槽及び特定ガス発生設備を除く。）には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合にガス又は液化ガスの流出及び流入を速やかに遮断し、そのガス又は液化ガスを回収することができる適切な装置を適切な箇所に設けなければならない。

ロ　ガス（不活性のガスを除く。）を発生させる設備（特定ガス発生設備及び移動式ガス発生設備を除く。）は、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合に迅速かつ安全にガスの発生を停止し、又は迅速かつ安全にガスを処理することができるものでなければならない。

ハ　移動式ガス発生設備の容器又は容器の設置場所には、容器内の圧力が異常に上昇しないよう適切な温度に維持できる適切な措置を講じなければならない。

二　温水で加熱する構造の気化装置であって、加熱部の温水が凍結するおそれのあるものには、これを防止する措置を講じなければならない。

ホ　容器に附属する気化装置内においてガスを発生させる特定ガス発生設備の容器の部分には、当該容器内の液化ガスの温度を確認することができる装置を設けなければならない。""","イ、ロ
","イ、ホ
","ロ、ハ
","ハ、二
",二、ホ,,,,,"イ、ホ
",[img:/static/explain/or5/r5oh10.jpg]
