ガスの燃焼に関する次の記述のうち、誤っているものはどれか。,ガスの燃焼は酸化反応であり、反応が最後まで完結しないで中間生成物(一酸化炭素、水素、アルデヒド等)が発生している状態を不完全燃焼という。,ブンゼンバーナーにおいて、ガス圧が異常に低下したり、ノズルが詰まったりしてガス量が極端に少なくなると、フラッシュバックが発生する。,機器の燃焼室内の給排気不良により二次空気が極端に減少すると、リフティングが発生する。,燃焼反応が十分な速さで進まないと、イエローチップが発生する。,メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度4%から75%である。,,,,,メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度4%から75%である。,"""メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度5%から15%である。 
[都市ガス工業概要 (消費機器編) P9 1.10 燃焼範囲(爆発範囲)]"""
円形のノズルから噴出するガス量について、ノズルの口径を4倍、ガスの圧力を4倍にしたとき、ガス量は何倍になるか。次の値のうち、最も近いものはどれか。,4,8,16,32,64,,,,,32,"""[都市ガス工業概要 (消費機器編) P6　1.7 ノズルからのガス噴出量及びインプット]
式I.1.1により、ガスの噴出量はノズルの口径の2乗に比例し、ガスの供給圧力の平方根に比例することから、42　×　√4　=　32"""
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,Q機能を搭載した瞬間湯沸器では、冷水サンドイッチ現象を緩和し、安定した湯温を得ることができる。,瞬間湯沸器のメインバーナーには、炎が短く燃焼室を小さくできるセミ・ブンゼンバーナーが一般に用いられる。,ふろ給湯器の設置方式には、浴室隣接設置形と設置フリー形とがある。,ハイブリッド給湯器は、電気ヒートポンプと潜熱回収型ガス給湯器で必要なお湯の量に合わせて効率的に運転を行うシステムである。,エコーネットライトは、HEMSとガス機器(燃料電池等)との接続に利用できる標準通信仕様である。,,,,,瞬間湯沸器のメインバーナーには、炎が短く燃焼室を小さくできるセミ・ブンゼンバーナーが一般に用いられる。,"""瞬間湯沸器のメインバーナーにはブンゼンバーナーが用いられる。
[都市ガス工業概要 (消費機器編) P89 3.2.4 瞬間湯沸器]"""
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,こんろには、調理油過熱防止装置を利用して鍋が焦げ付き始めると自動消火するものがある。,グリルは、直火によって主として伝導熱で調理する機器である。,コンビネーションレンジは、ガスオーブンに電子レンジ機能が内蔵されたものである。,衣類乾燥機には、湿り空気を排出する排湿筒が取り付けられるようになっている。,赤外線ストーブには、放射体としてセラミックプレートを用いたものと、特殊耐熱鋼金網を用いたものとの2種類がある。,,,,,グリルは、直火によって主として伝導熱で調理する機器である。,"""グリルは、直火によって主として放射熱で調理する機器である。
[都市ガス工業概要 (消費機器編) P67 3.1.1 コンロ]"""
コージェネレーションシステムと業務用ガス機器に関する次の記述のうち、誤っているものはどれか。,固体酸化物形燃料電池には、CO変成器が搭載されている。,吸収冷温水機は、冷媒に水を用いるノンフロン空調機である。,浸管式フライヤーには、油槽中の浸管内でガスを燃焼させて加熱する方式と、燃焼排ガスを通過させて加熱する方式とがある。,中華レンジには、火力を強力にするため、ブラストバーナーを用いたものがある。,遠赤外線ヒーターでは、セラミック特殊塗料で仕上げられた放射管等の表面から多量の遠赤外線が放射される。,,,,,固体酸化物形燃料電池には、CO変成器が搭載されている。,"""固体酸化物形や溶融炭酸塩型の高温作動の燃料電池では、一酸化炭素も発電反応に資する燃料となるため、一般的にはCO変成器やCO選択酸化器を必要としない。
[都市ガス工業概要(消費機器編) P306 3.1 燃料処理装置]"""
換気と一酸化炭素(CO)中毒に関する次の記述のうち、誤っているものはどれか。,自然換気における空気の流れを起こす力の種類には、風圧を利用したものと、空気の温度差によって生じる浮力を利用したものとがある。,必要換気量とは、室内の酸素濃度をある限界以上に保つための換気量の最小値のことである。,一人の成人男性が安静に座っている状態での必要換気量は、建築基準法関係法令では20㎥/hとされている。,換気扇に用いられるシロッコファンは、ターボファンに比べ効率が高い。,COは、ヘモグロビンに対する結合力が酸素の200～300倍強く、吸入により酸素欠乏症状をひきおこしやすい。,,,,,換気扇に用いられるシロッコファンは、ターボファンに比べ効率が高い。,"""ターボファンの効率が他のファンと比較して最も高い。
[都市ガス工業概要(消費機器編) P35　5.5.1 換気扇の種類と特徴]"""
給排気に関する次の記述のうち、誤っているものはどれか。,CF式ふろがまの排気筒トップに用いられる材料は、不燃性、耐熱性及び耐食性のあるものでなければならない。,BF式ふろがまを屋内に設置する場合は、設置する部屋に専用の給気口及び換気口は必要ない。,BF式ふろがまは、新規に浴室内に設置することはできない。,CF式ふろがまの逆風止めは、機器と同一室内に設置する必要がある。,FE式湯沸器では、排気筒の横引き長さと高さとの関係には特に規定がない。,,,,,BF式ふろがまは、新規に浴室内に設置することはできない。,"""新規に浴室内に設置しないことが望ましいのはCF式ふろがまである。
[都市ガス工業概要(消費機器編) P51　2.3.1 自然排気式（CF式）]"""
ガス機器の安全装置、点火装置及び制御装置に関する次の記述のうち、誤っているものはどれか。,水位制御装置には、自動湯張り機能付き温水機器のように任意に設定された水位を保つものと、貯蔵湯沸器のように固定された一定の水位を保つものとがある。,点火時安全装置とは、燃焼室を持つガス機器の残留未燃ガスによる爆発点火を防止するためのものである。,瞬時点火装置では、熱電対の起電力が十分に発生するまでの間、コンデンサーの放電電流によりガス弁を開状態に保持している。,ガス量制御に用いられる比例電磁弁には、固定コイル式と可動コイル式とがある。,機械式温度制御装置における温度検出部の方式には、気体膨張式と液体膨張式とがある。,,,,,機械式温度制御装置における温度検出部の方式には、気体膨張式と液体膨張式とがある。,"""機械式温度制御装置における温度検出部の方式には、固体膨張式(バイメタル式)と液体膨張式とがある。
[都市ガス工業概要(消費機器編) P183　4.3.5 温度制御]"""
ガス機器とガス栓との接続及び警報器に関する次の記述のうち、誤っているものはどれか。,ヒューズガス栓には、作動流量の異なるいくつかの種類があり、使用機器のインプット等に応じて選択する必要がある。,ガスコンセントは、迅速継手を接続するだけで栓が自動的に開き、外すと閉じる構造となっている。,オンオフ機構を有するガス栓では、つまみが半開状態で接続具が外れた場合、ヒューズ機構が作動せずガスが流出する。,家庭用のガス警報器には、ガスを検出するセンサーを小型化かつ省電力化することで電池駆動を可能にしたものがある。,家庭用のガス警報器に使用されている検出方式は、半導体式、接触燃焼式及び熱線型半導体式に大別される。,,,,,オンオフ機構を有するガス栓では、つまみが半開状態で接続具が外れた場合、ヒューズ機構が作動せずガスが流出する。,"""オンオフ機構を有するガス栓では、つまみが半開状態で接続具が外れた場合、ヒューズ機構は作動しないが、オンオフ弁によりガス通路が遮断され、ガスは流出しない。
[都市ガス工業概要(消費機器編) P192　5.3.4 オンオフ機構]"""
ガスの燃焼方式に関する次の記述のうち、誤っているものはどれか。,赤火燃焼式は、ガスをそのまま大気中に噴出して燃焼させる方式で、燃焼に必要な空気は、すべて周囲大気から拡散によって供給される。,炎の温度は、ブンゼン燃焼式より赤火燃焼式の方が高い。,濃淡燃焼バーナーは、全一次空気式バーナーとブンゼンバーナーを交互に配置した構造となっている。,ブラスト燃焼とは、燃焼用の空気をバーナー内にファンで強制的に送り込み、ノズルから噴出されるガスと混合し燃焼させる方式である。,触媒燃焼とは、可燃性ガスと酸素との反応を促進させる固体触媒を使用し燃焼させる方式である。,,,,,炎の温度は、ブンゼン燃焼式より赤火燃焼式の方が高い。,"""炎の温度は、ブンゼン燃焼式より赤火燃焼式の方が低い。
[都市ガス工業概要(消費機器編) P17 2.1 燃焼方式の分類]"""
ガス燃焼時に生じるリフティングの原因に関する次の記述のうち、誤っているものはどれか。,バーナー内のガス圧が高すぎて、ガスが出すぎる。,一次空気の吸引が多すぎて、混合ガス量が増えすぎる。,燃焼室内の給排気不良により、二次空気が極端に減少する。,バーナー部分が高温になり、そこを通る混合ガスの温度が上がりすぎる。,バーナーの炎口が詰まって、炎口の有効面積が極端に小さくなる。,,,,,バーナー部分が高温になり、そこを通る混合ガスの温度が上がりすぎる。,"""フラッシュバックの原因
[都市ガス工業概要(消費機器編) P22　3.2 フラッシュバック (逆火)]"""
