問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解,解説
"""消費機器調査員、内管検査員資格制度について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

「消費機器調査員資格認定業務規則」、「内管検査員資格認定業務規則」において、ガス事業者※は消費機器調査、内管検査について「消費機器調査員」、「内管検査員」の（　　　）を有するものを従事させると規定されている。
※ガス事業者とは、ガス小売事業者、一般ガス導管事業者、特定ガス導管事業者の総称とする。""",３年,技能,トレーナー,５年,資格,,,,,資格,テスト
"""消費機器調査員、内管検査員資格制度について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

点検員資格は（　　　）に１回の更新制度であり、更新対象者は各ガス事業者で実施する資格更新教育を受講し、更新申請を行う必要がある。""",３年,技能,トレーナー,５年,資格,,,,,３年,テスト
"""次のＡからＥのガス設備について、資産区分の正しい組み合わせを解答群から選択して答えなさい。

Ａ：本支管・供給管　　　Ｂ：内管　　　Ｃ：ガスメーター　　　Ｄ：ガス栓　　　Ｅ：消費機器""",Ａ：ガス事業者　　　Ｂ：ガス事業者　　　Ｃ：ガス事業者　　　Ｄ：ガス事業者　　　Ｅ：消費ガス事業者,Ａ：ガス事業者　　　Ｂ：お客さま　　　Ｃ：ガス事業者　　　Ｄ：お客さま　　　Ｅ：お客さま,Ａ：ガス事業者　　　Ｂ：ガス事業者　　　Ｃ：お客さま　　　Ｄ：ガス事業者　　　Ｅ：お客さま,Ａ：ガス事業者　　　Ｂ：ガス事業者　　　Ｃ：ガス事業者　　　Ｄ：ガス事業者　　　Ｅ：お客さま,Ａ：ガス事業者　　　Ｂ：お客さま　　　Ｃ：お客さま　　　Ｄ：お客さま　　　Ｅ：お客さま,,,,,Ａ：ガス事業者　　　Ｂ：お客さま　　　Ｃ：ガス事業者　　　Ｄ：お客さま　　　Ｅ：お客さま,テスト
"""ガスの燃焼について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスが燃焼するときのガスと空気の（　　　）の範囲を燃焼範囲という。""",空気,酸素,水素,過剰空気,０～１０,混合割合,活動限界,燃焼範囲,２０～４０,混合割合,テスト
"""ガスの燃焼について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスが燃焼するときのガスと空気の混合割合の範囲を（　　　）という。""",空気,酸素,水素,過剰空気,０～１０,混合割合,活動限界,燃焼範囲,２０～４０,燃焼範囲,テスト
"""ガスの燃焼について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスの燃焼に必要な（　　　）は、一般的に空気中に含まれているものを使用する。""",空気,酸素,水素,過剰空気,０～１０,混合割合,活動限界,燃焼範囲,２０～４０,酸素,テスト
"""ガスの燃焼について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスの燃焼に必要な酸素は、一般的に（　　　）に含まれているものを使用する。""",空気,酸素,水素,過剰空気,０～１０,混合割合,活動限界,燃焼範囲,２０～４０,空気,テスト
"""ガスの燃焼について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスを完全燃焼させるには、（　　　）％の過剰空気が必要である。""",空気,酸素,水素,過剰空気,０～１０,混合割合,活動限界,燃焼範囲,２０～４０,２０～４０,テスト
"""ガスの燃焼について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスを完全燃焼させるには、２０～４０％の（　　　）が必要である。""",空気,酸素,水素,過剰空気,０～１０,混合割合,活動限界,燃焼範囲,２０～４０,過剰空気,テスト
"""ガス機器の分類について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス機器の分類には、（　　　）と給排気方式による分類がある。""",商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,使用用途,テスト
"""ガス機器の分類について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス機器の分類には、使用用途と（　　　）による分類がある。""",商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,給排気方式,テスト
"""ガス機器の分類について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

「テーブルコンロ、コンビネーションレンジ、ガス炊飯器」：（　　　）機器""",商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,調理用,テスト
"""ガス機器の分類について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

「ガスファンヒーター、ガスストーブ」：（　　　）機器""",商業用,給排気方式,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,暖房用,テスト
