"""A点からB点にガスを50㎥/h供給している低圧導管AB(延長100m)において、A点の圧力PAは2.3kPa、B点の圧力は2.2kPaであった。
今、下図のようにB点からさらに100m延長 して、 C点にも50m/hを供給する計画となった。A点での圧力を2.3kPaのままとし、同一口径で延長した場合のC点の圧力(kPa)として最も近い値はどれか。
ただし、AB間、BC間とも高低差は考慮しないものとする。""",2.1,2,1.9,1.8,1.7,,,,,1.8,[img:/static/explain//kr2/kR2g10.jpg]
"""整圧器に関する次の記述のうち、誤っているものはいくつあるか。


フィッシャー式整圧器は、需要家のガス使用量が増加するとパイロットダイヤフラムが降下し、駆動圧力が上昇する。 

直動式整圧器は、一次圧力が変化するとメインバルブの平衡位置が変化するため二次圧力もシフトする。 

パイロット式アンローディング型整圧器は、メインバルブが全閉時に駆動圧力が最も高くなるため、駆動圧力以上の一次圧力が確保されないとメインバルブが閉止不能となる。

レイノルド式整圧器の二次圧異常上昇の原因として、低圧補助ガバナ(パイロット)の締め切り不良が考えられる。 

アキシャルフロー式(軸流式)整圧器は、二次圧力が設定圧力を下回ったとき、パイロットダイヤフラムを押し上げる力がパイロットスプリングの力に打ち勝ち、パイロット系を流れるガスの流量を増加させる。"" ",1,2,3,4,5,,,,,2,[img:/static/explain//kr2/kR2g11.jpg]
"""ガスメーターの構造及び機能に関する次の記述のうち、 誤っているものはいくつあるか。 


回転子式ガスメーターは、メーター前後に直管が必要であり、ガスの圧力が高い場合には圧力補正装置を取り付けて使用する。 

渦流式ガスメーターは、カルマン渦の発生周波数から積算流量を測定する。 

サーマルフロー式ガスメーターは、ダスト・ミストの影響を避けるための専用のフィルターが必要である。 

タービン式ガスメーターは、流れの中に置いた羽根車の回転速度が流量に比例する原理を利用したメーターで、流量を容積計量する。 

超音波式ガスメーターは、超音波を用いて流量を推測計量する。"" ",1,2,3,4,5,,,,,3,[img:/static/explain//kr2/kR2g12.jpg]
"""外径200mmの鋼管が内圧1MPaを受ける場合、ガス事業法の管厚計算式を用いたときの管厚(mm)として最も近い値はどれか。
なお、この鋼管の外径と内径の比は1.5以下とし、鋼管の許容引張応力は62N/㎡、継手効率1.00、腐れしろ1mmとする。 """,1.8,2,2.2,2.4,2.6,,,,,2.6,[img:/static/explain//kr2/kR2g13.jpg]
"""腐食防食に関する次の記述のうち、正しいものはいくつあるか。 


選択排流法とは、導管と電気鉄道のレールを接続する回路に直流電源装置を入れることで、レールに排流する方法である。 

電気防食により管の電位を下げ過ぎると、鋼の表面に水素ガスが発生し、鋼の組織に拡散するとともに、塗装の剥離が発生しやすくなる。 

鋳鉄管と鋼管が電気的に接続されている場合、鋳鉄管がアノードとなり腐食する傾向がある。 

地表面電位勾配とは、土壌、コンクリート等の電解質に設置した照合電極に対する導管の電位である。 

管路調査では、 管路における防食状況(塗覆、電気防食、絶縁)及びマクロセル腐食でアノード部となるコンクリート貫通部等を調査する。"" ",1,2,3,4,5,,,,,1,[img:/static/explain//kr2/kR2g14.jpg]
"""導管の工事に関する次の記述のうち、誤っているものはいくつあるか。 


低圧管のガスの遮断に際し、ノーブロー工法を用いて、作業時の管内圧力の急激な変化や漏出ガスによる臭気の発生を防止した。 

中圧管の切断連絡に際し、バルブ操作により低圧の所定の圧力まで減圧したので、ガスバッグで遮断した箇所に放散管を設置しなかった。 

電気防食を施した鋼管の切断にあたって、電気防食施設の電源を切っておき、さらに切断予定箇所の両端を短絡させた。 

溶接部等の放射線透過試験を行うために、エックス線管の焦点又は放射線源から3m以内のエリアを立入禁止区域として明示し、放射線業務従事者以外の第三者の立入を禁止した。

バルブピット内の作業に際し、酸素欠乏による災害を防止するため、常時作業の状況を監視し、異常時には直ちに応急措置及び関係者への通報ができるよう作業を2名で行った。"" ",1,2,3,4,すべて正しい,,,,,2,[img:/static/explain//kr2/kR2g15.jpg]
"""溶接と非破壊試験に関する次の記述のうち、誤っているものはいくつあるか。


被覆アーク溶接は、心線に被覆剤(フラックス)を塗った溶接棒自体を電極として、母材と溶接棒の間隙にアークを発生させ、溶接棒がアークの熱によって溶け、母材の一部と融合することで溶接する。 

ティグ溶接は、電極と母材間でアークを発生させ、母材上の溶融池にワイヤを供給する溶接方法であり、溶融池の熱のみでワイヤを溶融させるため溶接速度が速い。 

溶込み不良とは、溶接金属と母材又は溶接金属同士が溶着していない状態をいう。 

放射線透過写真によるきずの種別は第1種から第4種まで区別され、丸いブローホール及びこれに類するきずは第4種となる。 

超音波探傷試験は、検査物の片側だけから検査できるが、きずまでの距離やきずの高さは測定できない。"" ",1,2,3,4,5,,,,,4,[img:/static/explain//kr2/kR2g16.jpg]
"""導管の維持管理に関する次の記述のうち、正しいものはいくつあるか。 


水素炎イオン化式ガス検知器(FID)は、水素炎の中に可燃性ガスが入ると、炎の電気伝導度が増大する現象を利用したものであり、すべての可燃性ガスを検知できる。 

緊急ガス遮断装置の点検では、瞬時に閉動作が行われ、かつ確実に遮断されることを確認する。 

中圧鋼管で腐食による漏えいが発生したため、緊急修理用バンドを用いて応急処置を行った。 

地震時の漏えい予防として、低圧の本支管に反転シール系の更生修理工法を適用した。

漏えい磁束ピグは、主として高圧導管の塗覆装の損傷を検査するために用いられる。 """,1,2,3,4,5,,,,,3,[img:/static/explain//kr2/kR2g17.jpg]
"""地震対策に関する次の記述のうち、誤っているものはいくつあるか。 


高圧導管の耐震性評価において、レベル1地震動に対する直管の接合部や異形管部の許容ひずみは3.0%である。 

中・低圧導管は、地盤変位吸収能力と設計地盤変位を比較することで、耐震性を評価する。

ガス防災支援システム(G-React)は、大規模地震発生時に早期復旧のため、国、ガス事業者が被害情報、復旧活動に必要な情報の共有を図るものである。 

単位ブロックとは、供給停止した地域内のガスの復旧作業を効率的に実施するため、供給停止ブロックを更に分割して得られるブロックをいう。 

移動式ガス発生設備には、「空気吸入式(PA式)」、「圧縮ガス式(CNG式)」、「液化ガス式(LNG式)」がある。""",1,2,3,4,5,,,,,2,[img:/static/explain//kr2/kR2g18.jpg]
"""A点からB点にガスを200m³/h供給している低圧導管AB(口径20cm、延長200m)がある。
このとき、A点の圧力PAは2.3kPa、B点の圧力PBは2.1kPaであった。
今、AB間の中間点 (A点から100m)のC点にもガスを200m/h供給することになった。A点の圧力PAが2.3kPaのとき、B点の圧力PB(kPa)として最も近い値はどれか。
ただし、高低差は考慮しないものとする。 """,1.5,1.6,1.7,1.8,1.9,,,,,1.8,[img:/static/explain/kr3/kR3g10.jpg]
